,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
17,"McCloskey, Megan",JR-3,Penn State,1.82m,"5' 11.5""",LSU Battle on the Bayou,2017-04-08,HJ,W
17,"Avery, Courtney",SR-4,Lehigh,1.82m,"5' 11.5""",Penn Relays,2017-04-27,HJ,W
17,"Omoregie, Eleonora",FR-1,Florida State,1.82m,"5' 11.5""",ACC Outdoor Track & Field Championships,2017-05-12,HJ,W
17,"Brooks, Taliyah",JR-3,Arkansas,1.82m,"5' 11.5""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,HJ,W
17,"Wade, Peyton",JR-3,Maryland,1.82m,"5' 11.5""",Virginia Challenge,2017-04-21,HJ,W
17,"Schultz, Nina",FR-1,Kansas State,1.82m,"5' 11.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,HJ,W
17,"Lewis, Regan",SO-2,Ball State,1.82m,"5' 11.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,HJ,W
29,"Moffitt, Janae",SO-2,Purdue,1.81m,"5' 11.25""",2017 Louisville Invitational,2017-04-14,HJ,W
29,"Ekholm, Ellen",FR-1,Kentucky,1.81m,"5' 11.25""",Baldy Castillo Invitational,2017-03-17,HJ,W
29,"Luteran, Petra",FR-1,Nebraska,1.81m,"5' 11.25""",Tom Botts Invitational,2017-04-14,HJ,W
29,"Manson, Nikki",SR-4,Akron,1.81m,"5' 11.25""",Spec Towns Invitational,2017-04-07,HJ,W
29,"Czuth, Reka",JR-3,Nebraska,1.81m,"5' 11.25""",Tom Botts Invitational,2017-04-14,HJ,W
29,"Mason, Jailah",JR-3,Morgan State,1.81m,"5' 11.25""",MEAC Outdoor Championships,2017-05-04,HJ,W
35,"Gardner, Autumn",JR-3,Colorado St.,1.80m,"5' 10.75""",Rams vs. Cowboys Dual,2017-05-05,HJ,W
35,"Palmer, Bria",SO-2,Long Beach St.,1.80m,"5' 10.75""",2017 Big West Track & Field Championships,2017-05-12,HJ,W
35,"Beattie, Erinn",SO-2,UC Davis,1.80m,"5' 10.75""",2017 Big West Track & Field Championships,2017-05-12,HJ,W
35,"Johnson, Courtney",JR-3,Texas State,1.80m,"5' 10.75""",Texas State Bobcat Classic,2017-04-28,HJ,W
35,"May, Darragh",JR-3,Arkansas State,1.80m,"5' 10.75""",38th Sun Angel Classic,2017-04-06,HJ,W
35,"Yetter, Lindsay",FR-1,BYU,1.80m,"5' 10.75""",2017 UVU Collegiate Invitational,2017-03-31,HJ,W
41,"Tuuri, Heta",JR-3,Minnesota,1.79m,"5' 10.5""",Longhorn Invitational,2017-04-28,HJ,W
41,"Ahrens, Stephanie",JR-3,Nebraska-Omaha,1.79m,"5' 10.5""",The Summit League Outdoor Track & Field Championships,2017-05-11,HJ,W
41,"Dominguez, Candice",JR-3,Sacramento St.,1.79m,"5' 10.5""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,HJ,W
41,"Knapp, Haleigh",JR-3,Eastern Illinois,1.79m,"5' 10.5""",Wisconsin Alumni Classic,2017-05-05,HJ,W
