,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
43,"Long, Joel",JR-3,Kansas,2.15m,"7' 0.5""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,HJ,M
43,"Seals, John",JR-3,George Mason,2.15m,"7' 0.5""",George Mason Spring Invitational,2018-04-14,HJ,M
53,"Piwinski, Brandon",FR-1,Michigan,2.14m,"7' 0.25""",Big Ten Championships,2018-05-11,HJ,M
53,"Rivera, Brendon",SO-2,Arkansas,2.14m,"7' 0.25""",John McDonnell Invitational,2018-04-13,HJ,M
53,"Harris, Frank",FR-1,Southern Utah,2.14m,"7' 0.25""",Big Sky Outdoor Track & Field Championships,2018-05-08,HJ,M
53,"Morales, Arnaldo",SR-4,Youngstown St.,2.14m,"7' 0.25""",Westminster Invitational 2018,2018-04-14,HJ,M
53,"Hovland, Nolan",JR-3,North Dakota,2.14m,"7' 0.25""",Big Sky Outdoor Track & Field Championships,2018-05-08,HJ,M
53,"Sizemore, Titus",SO-2,Troy,2.14m,"7' 0.25""",Tiger Track Classic 2018,2018-04-13,HJ,M
53,"McCann, Michael",SR-4,Nebraska,2.14m,"7' 0.25""",2018 Nebraska Invitational,2018-05-05,HJ,M
60,"Claitt, Tequan",JR-3,Eastern Kentucky,2.13m,"6' 11.75""",Raleigh Relays,2018-03-30,HJ,M
60,"Harvey, Julian",SR-4,SIU Edwardsville,2.13m,"6' 11.75""",Ohio Valley Conference Championship,2018-05-10,HJ,M
60,"Clancy, Kyle",JR-3,UC Davis,2.13m,"6' 11.75""",Bryan Clay Invitational,2018-04-19,HJ,M
60,"Bloom, Alex",SR-4,Cincinnati,2.13m,"6' 11.75""",The American Outdoor Track & Field Championships,2018-05-11,HJ,M
60,"Duckworth, Tim",SR-4,Kentucky,2.13m,"6' 11.75""",Spec Towns Invitational,2018-04-06,HJ,M
60,"Adams, Tyler",JR-3,Sam Houston St.,2.13m,"6' 11.75""",Southland Conference Outdoor Track & Field Championships,2018-05-04,HJ,M
60,"Hughes, Elijah",SO-2,Arizona State,2.13m,"6' 11.75""",2018 Desert Heat Classic,2018-04-28,HJ,M
60,"Fightmaster, Keyth",JR-3,Samford,2.13m,"6' 11.75""",Southern Conference Outdoor Track & Field Championships,2018-05-10,HJ,M
68,"Monroe , Michael",SR-4,Penn,2.12m,"6' 11.5""",Penn Relays,2018-04-26,HJ,M
68,"Ogbonna, Kingsley",SR-4,Albany,2.12m,"6' 11.5""",Penn Relays,2018-04-26,HJ,M
68,"Miller, Reggie",SO-2,Miss State,2.12m,"6' 11.5""",Tennessee Relays,2018-04-12,HJ,M
