,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
31,"Charleston, Cravont",SO-2,North Carolina St.,10.21,ACC Outdoor Championships,2018-05-10,-0.3,100,M
31,"Thomas, Justin",JR-3,Jackson State,10.21,SWAC Outdoor Track and Field Championship,2018-05-04,2.4,100,M
34,"Fair, Kareem",SR-4,Bethune-Cookman,10.22,UF Tom Jones Memorial,2018-04-13,2.1,100,M
34,"Asemota, Duan",SR-4,Ohio State,10.22,Big Ten Championships,2018-05-11,1.2,100,M
34,"Rowe, Rodney",JR-3,N. Carolina A&T,10.22,LSU Invitational,2018-04-28,1.9,100,M
37,"Resais , Cliff",SR-4,SE Louisiana,10.23,Southland Conference Outdoor Track & Field Championships,2018-05-04,-0.3,100,M
37,"Bazile, Zack",SR-4,Ohio State,10.23,Big Ten Championships,2018-05-11,0.5,100,M
37,"Hall, Elijah",SR-4,Houston,10.23,The American Outdoor Track & Field Championships,2018-05-11,-0.4,100,M
40,"Burrell, Cameron",SR-4,Houston,10.24,The American Outdoor Track & Field Championships,2018-05-11,-0.2,100,M
40,"Wilson, Carlos",FR-1,Texas State,10.24,Sun Belt Outdoor Track and Field Championships,2018-05-11,2.2,100,M
40,"Ekevwo, Raymond",FR-1,Oral Roberts,10.24,2018 Jimmy John's ORU Invite,2018-03-31,2.2,100,M
43,"Smith, Terrell",SR-4,Kansas State,10.25,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,1.3,100,M
43,"Scott, Rafael",SR-4,South Alabama,10.25,Tiger Track Classic 2018,2018-04-13,3.2,100,M
43,"Timpson, Jr, Michael",JR-3,Florida,10.25,UF Tom Jones Memorial,2018-04-13,2.1,100,M
43,"Ross, Elijah",SR-4,Arkansas State,10.25,Sun Belt Outdoor Track and Field Championships,2018-05-11,2.2,100,M
47,"Williams, Gawain",SR-4,South Dakota,10.26,2018 Summit League Championships,2018-05-10,2.0,100,M
47,"Hudson, Andrew",JR-3,Texas Tech,10.26,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,0.8,100,M
49,"Minor, Eli",SR-4,Western Kentucky,10.27,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,2.2,100,M
50,"Harrison, Eric",FR-1,Ohio State,10.28,2018 Jim Click Shootout,2018-04-07,-0.5,100,M
51,"Virgil, Jalen",FR-1,Appalachian State,10.29,Sun Belt Outdoor Track and Field Championships,2018-05-11,3.4,100,M
51,"Barnum, Alexander",SO-2,USC,10.29,UCLA vs. USC Dual,2018-04-29,0.4,100,M
51,"Miller, Jalen",SR-4,TCU,10.29,Roadrunner Invitational,2018-03-22,1.4,100,M
