,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
82,"Catherine, Brooke",SO-2,Cincinnati,4.03m,"13' 2.5""",2017 Kentucky Relays,2017-05-06,PV,W
82,"Okoronkwo, Chinne",FR-1,Wisconsin,4.03m,"13' 2.5""",Wisconsin Alumni Classic,2017-05-05,PV,W
86,"Lofstead, Caleigh",FR-1,Vanderbilt,4.02m,"13' 2.25""",SEC Outdoor Track & Field Championships,2017-05-11,PV,W
86,"Drummonds, Taylor",SR-4,Appalachian State,4.02m,"13' 2.25""",Duke Invitational,2017-04-21,PV,W
86,"Trageser, Kylee",JR-3,BYU,4.02m,"13' 2.25""",2017 BYU Cougar Invitational,2017-05-12,PV,W
86,"Zinsli, Kaitlin",JR-3,Washington,4.02m,"13' 2.25""",Pac-12 Championships,2017-05-13,PV,W
86,"Macco, Nicole",SO-2,Penn,4.02m,"13' 2.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,W
86,"Breske, Nicole",FR-1,Florida State,4.02m,"13' 2.25""",Seminole Twilight,2017-05-05,PV,W
86,"Mulhern, Hannah",JR-3,Penn State,4.02m,"13' 2.25""",LSU Battle on the Bayou,2017-04-08,PV,W
86,"Mather, Rachel",JR-3,Indiana,4.02m,"13' 2.25""",Pac-12 vs Big-10 Invitational,2017-03-24,PV,W
94,"McWilliams, Hannah",JR-3,Texas A&M-CC,4.00m,"13' 1.5""",Texas State Bobcat Classic,2017-04-28,PV,W
94,"Parker, Jada",JR-3,Memphis,4.00m,"13' 1.5""",2017 Rhodes Invitational,2017-03-17,PV,W
94,"Uy, Natalie",SR-4,Eastern Michigan,4.00m,"13' 1.5""",Toledo Invitational,2017-05-04,PV,W
94,"Felix, Kristine",SR-4,Washington St.,4.00m,"13' 1.5""",Cougar Invitational,2017-04-29,PV,W
94,"Kiefer, Lexi",FR-1,Minnesota,4.00m,"13' 1.5""",Longhorn Invitational,2017-04-28,PV,W
94,"Wood, Blake",SR-4,Texas Tech,4.00m,"13' 1.5""",Texas Tech Red Raider Shoot-Out,2017-04-28,PV,W
94,"Gale, Emily",SR-4,Miami,4.00m,"13' 1.5""",Miami Hurricane Alumni Invitational,2017-04-07,PV,W
1,"Weeks, Alexis",FR-1,Arkansas,4.64m,"15' 2.75""",John McDonnell Invitational,2016-04-22,PV,W
2,"Clark, Megan",SR-4,Duke,4.63m,"15' 2.25""",Duke Invitational,2016-04-22,PV,W
3,"Newman, Alysha",SR-4,Miami,4.60m,"15' 1""",Miami Hurricane Alumni Invitational,2016-04-08,PV,W
4,"Leleux, Morgann",SR-4,UL-Lafayette,4.52m,"14' 10""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,PV,W
5,"Rhodes, Annie",JR-3,Baylor,4.45m,"14' 7.25""",Ricardo Romo Invitational,2016-03-24,PV,W
5,"Payne, Demi",SR-4,Stephen F. Austin,4.45m,"14' 7.25""",UTSA Invitational,2016-03-18,PV,W
7,"Carmichael, Carolina",SR-4,Memphis,4.44m,"14' 6.75""",Memphis Tiger Invitational,2016-04-29,PV,W
8,"Johnson, Jessie",JR-3,Auburn,4.43m,"14' 6.25""",Georgia Invitational,2016-04-30,PV,W
9,"Clute, Sydney",JR-3,Indiana,4.42m,"14' 6""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,PV,W
10,"Shell, Mackenzie",FR-1,Oklahoma,4.41m,"14' 5.5""",Oklahoma John Jacobs Invitational,2016-04-22,PV,W
11,"Weeks, Victoria",FR-1,Arkansas,4.40m,"14' 5.25""",John McDonnell Invitational,2016-04-22,PV,W
12,"Murray, Lindsey",SO-2,Mississippi,4.34m,"14' 2.75""",Memphis Tiger Invitational,2016-04-29,PV,W
13,"Grove, Emily",JR-3,South Dakota,4.33m,"14' 2.5""",Summit League Outdoor T&F Championships,2016-05-12,PV,W
14,"Long, Kally",SO-2,Texas,4.32m,"14' 2""",Texas State Bobcat Classic,2016-04-29,PV,W
