,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
6,"Donegan, Laura Rose",JR-3,New Hampshire,9:49.16,2016 America East Outdoor Track & Field Championships,2016-05-07,3000S,W
7,"Kouba, Paige",SR-4,Harvard,9:50.21,Stanford Invitational,2016-04-01,3000S,W
8,"Loevnes, Ingeborg",JR-3,Oklahoma State,9:50.67,Payton Jordan Invitational,2016-05-01,3000S,W
9,"Griesche, Cornelia",SR-4,Miss State,9:51.66,SEC Championships,2016-05-12,3000S,W
10,"Clark, Devin",FR-1,Arkansas,9:54.83,SEC Championships,2016-05-12,3000S,W
11,"Talbert, Madelin",SR-4,Lipscomb,9:55.79,Mt. SAC Relays,2016-04-14,3000S,W
12,"Mills, Shelby",JR-3,Gonzaga,9:56.17,2016 West Coast Invitational,2016-05-12,3000S,W
13,"Berge, Frida",JR-3,Oregon,9:56.79,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
14,"Landwehr, Katie",SR-4,Michigan State,9:58.87,Virginia Challenge,2016-04-22,3000S,W
15,"Ilarda, Brianna",SO-2,Providence,9:59.54,BIG EAST Outdoor Track & Field Championships,2016-05-13,3000S,W
16,"Prouse, Charlotte",FR-1,Washington,10:00.67,Pepsi Invitational,2016-04-09,3000S,W
17,"Batt-Doyle, Isobel",SO-2,Washington,10:02.00,Pepsi Invitational,2016-04-09,3000S,W
18,"Strandemo, Madeline",SO-2,Minnesota,10:03.52,Virginia Challenge,2016-04-22,3000S,W
19,"Waggoner, Hannah",JR-3,Alabama,10:04.69,SEC Championships,2016-05-12,3000S,W
20,"Greenleaf, Katelyn",SR-4,Alabama,10:05.03,Stanford Invitational,2016-04-01,3000S,W
21,"Constien, Val",SO-2,Colorado,10:05.65,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
22,"Hehr, Antonia",FR-1,Miss State,10:06.06,SEC Championships,2016-05-12,3000S,W
23,"de La Bruyere, Emily",SR-4,Princeton,10:06.26,Larry Ellis Invite,2016-04-22,3000S,W
24,"Nerud, Brianna",JR-3,Oregon,10:06.88,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
25,"DeStefano, Audra",JR-3,Wyoming,10:07.35,Mountain West Championships,2016-05-11,3000S,W
26,"Barr, Erika",SR-4,UC Davis,10:08.63,Stanford Invitational,2016-04-01,3000S,W
27,"McShea, Kelly",SR-4,Illinois State,10:09.56,Stanford Invitational,2016-04-01,3000S,W
28,"Child, Ellie",JR-3,Weber State,10:09.68,Mt. SAC Relays,2016-04-14,3000S,W
29,"Blake, Bridget",SO-2,Florida State,10:09.81,ACC Championships,2016-05-13,3000S,W
30,"Lake, Iona",SR-4,Virginia,10:09.99,ACC Championships,2016-05-13,3000S,W
31,"Mahoney, Katie",SR-4,Eastern Washington,10:10.33,Stanford Invitational,2016-04-01,3000S,W
32,"Weiler, Liz",SR-4,Toledo,10:10.89,Virginia Challenge,2016-04-22,3000S,W
33,"Schmelzle, Hope",JR-3,Northern Illinois,10:10.90,Mid-American Conference Championship,2016-05-12,3000S,W
34,"Gallein, Sofie",SR-4,Eastern Michigan,10:10.92,Mid-American Conference Championship,2016-05-12,3000S,W
35,"Katz, Danielle",JR-3,Stanford,10:11.11,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
36,"Scharmann, Emily",JR-3,UCLA,10:11.30,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
37,"Urick, Kaila",SR-4,Minnesota,10:11.54,Virginia Challenge,2016-04-22,3000S,W
38,"Adelsberger, Teylar",JR-3,Missouri,10:12.39,Mt. SAC Relays,2016-04-14,3000S,W
39,"Johnson, Brianna",SR-4,Indiana,10:13.21,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,3000S,W
40,"Buchalski, Allie",SO-2,Furman,10:13.28,Virginia Challenge,2016-04-22,3000S,W
40,"Johnson, Carolina",FR-1,UCLA,10:13.28,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
42,"Hukka, Minttu",FR-1,Boise State,10:14.06,Mountain West Championships,2016-05-11,3000S,W
43,"Kunc, Katy",SO-2,Kentucky,10:14.66,SEC Championships,2016-05-12,3000S,W
44,"Bird, Elizabeth",JR-3,Princeton,10:15.03,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,3000S,W
45,"Mikkalson, Taylor",JR-3,Minnesota,10:15.26,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,3000S,W
46,"Hirsch, Sidney",JR-3,Wichita State,10:16.71,Stanford Invitational,2016-04-01,3000S,W
47,"Austin, Taylor",SO-2,Indiana State,10:17.70,2016 MVC Outdoor Track and Field Championships,2016-05-13,3000S,W
48,"Teschuk, Erin",SR-4,North Dakota State,10:18.14,Summit League Outdoor T&F Championships,2016-05-12,3000S,W
49,"McCaslin, Caroline",JR-3,Kentucky,10:18.32,Virginia Challenge,2016-04-22,3000S,W
50,"Bernal, Natasha",FR-1,New Mexico,10:19.54,Payton Jordan Invitational,2016-05-01,3000S,W
51,"Darlington, Amy",SR-4,Penn,10:20.41,Larry Ellis Invite,2016-04-22,3000S,W
52,"Dyer, Alyssa",SR-4,Central Michigan,10:20.47,Mid-American Conference Championship,2016-05-12,3000S,W
53,"Pasternak, Anna",SR-4,Michigan,10:20.53,Mt. SAC Relays,2016-04-14,3000S,W
