,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
41,"Aneno, Susan",FR-1,Mid. Tenn. State,2:05.94,Tiger Track Classic,2016-04-08,800,W
42,"Connor, Sophie",SR-4,New Mexico,2:05.95,Mountain West Championships,2016-05-11,800,W
43,"Garner, Tionna",JR-3,Monmouth,2:06.10,Larry Ellis Invite,2016-04-22,800,W
44,"Wade, Brittney",JR-3,Columbia,2:06.17,2016 Battle Road Twilight Meet #1,2016-05-14,800,W
45,"Vanpelt, Stephanie",SR-4,St. John's,2:06.18,Larry Ellis Invite,2016-04-22,800,W
46,"Willard, Katie",JR-3,Texas A&M,2:06.23,UCLA vs. Texas A&M Dual Meet,2016-04-16,800,W
47,"Etienne, Tatiana",JR-3,Alabama State,2:06.25,Aggie Last Chance,2016-05-15,800,W
48,"Hamilton, Mary Beth",JR-3,Texas,2:06.26,Payton Jordan Invitational,2016-05-01,800,W
48,"Hetherington, Abbie",SO-2,Oklahoma State,2:06.26,Arkansas Twilight,2016-05-06,800,W
50,"Iuel, Amalie",JR-3,USC,2:06.34,Pac-12 Combined Events Championships,2016-05-07,800,W
51,"Jarvis, Chelsea",SO-2,Florida State,2:06.37,ACC Championships,2016-05-13,800,W
52,"Hiltz, Nikki",SO-2,Arkansas,2:06.42,Arkansas Twilight,2016-05-06,800,W
53,"Croft, Rebecca",FR-1,California,2:06.51,The Big Meet -Cal vs. Stanford,2016-04-09,800,W
54,"Waschmann, Malika",JR-3,Stanford,2:06.52,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
55,"Blanton, Brianna",SR-4,Clemson,2:06.55,LSU Alumni Gold,2016-04-23,800,W
56,"Staebler, Jasmine",FR-1,Iowa State,2:06.59,Big 12 Outdoor Track & Field Championships,2016-05-13,800,W
57,"Panisse, Alexis",JR-3,Connecticut,2:06.60,The American Outdoor Track & Field Championships,2016-05-12,800,W
58,"Purrier, Elinor",SO-2,New Hampshire,2:06.63,2016 Colonial Relays,2016-03-31,800,W
59,"Wilberding, Aubrey",JR-3,Michigan State,2:06.71,Virginia Challenge,2016-04-22,800,W
60,"Hoppe, Devon",SR-4,Michigan,2:06.73,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,800,W
61,"Goins, Rianna",JR-3,UC Davis,2:06.74,Sacramento State Open (College),2016-05-07,800,W
62,"Crowe-Carter, Auzsane",SR-4,UNLV,2:06.76,Steve Scott Invitational,2016-04-29,800,W
63,"Mooney, Claire",SR-4,St. John's,2:06.81,Princeton Outdoor Invite,2016-04-15,800,W
63,"Gordon, Chrisann",JR-3,Texas,2:06.81,Power Conference Cardinal & Gold,2016-03-25,800,W
65,"Ellsworth, Lauren",FR-1,BYU,2:06.83,2016 Oxy Invitational (College/University),2016-05-07,800,W
66,"Correy, Brette",JR-3,Northern Iowa,2:06.85,Musco Twilight,2016-04-23,800,W
67,"Watson, Ceara",FR-1,Arkansas,2:06.87,Texas Invitational,2016-04-16,800,W
68,"Price, Ffion",JR-3,Miss State,2:06.89,LSU Battle on the Bayou,2016-04-09,800,W
69,"Clock , Amber",SR-4,Northern Iowa,2:06.94,Wisconsin Twilight,2016-05-06,800,W
70,"Laman, Anna",SO-2,Stanford,2:06.95,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
71,"Clayton, Courtney",SO-2,Vanderbilt,2:06.96,Jace LaCoste- Mississippi State Invitational,2016-04-30,800,W
72,"Osika, Shannon",SR-4,Michigan,2:07.03,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,800,W
73,"McDonnell, Shannon",SR-4,Yale,2:07.09,Virginia Challenge,2016-04-22,800,W
74,"McSherry, Ally",SR-4,Minnesota,2:07.10,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,800,W
