,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
46,"Bennett, Yanique",JR-3,UTEP,58.27,Conference USA Championship,2016-05-12,400H,W
47,"Stauffacher-Gray, Jasmine",FR-1,UCLA,58.38,Pac-12 Outdoor Track & Field Championships,2016-05-14,400H,W
48,"Swinton, Brianna",JR-3,Arkansas,58.52,Arkansas Twilight,2016-05-06,400H,W
48,"Powell, Jocselyn",SO-2,Kennesaw State,58.52,ASUN Outdoor Track & Field Championships,2016-05-13,400H,W
50,"Gamble, Tia'",SR-4,Kansas State,58.64,LSU Battle on the Bayou,2016-04-09,400H,W
50,"Collins, Devin",JR-3,Oregon State,58.64,2016 OSU High Performance Meet,2016-04-29,400H,W
52,"Packham, Kaylee",SR-4,BYU,58.65,37th Annual Sun Angel Classic,2016-04-08,400H,W
53,"Michell, Sami",SO-2,Michigan,58.7,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
54,"Blumm, Stephanie",SR-4,Sacramento St.,58.72,Mondo Team Challenge,2016-04-02,400H,W
55,"Glades, Jamika",JR-3,Miami,58.78,ACC Championships,2016-05-13,400H,W
55,"Atherley, Michelle",FR-1,Auburn,58.78,War Eagle Invitational,2016-04-22,400H,W
57,"Crear, Ebony",SO-2,Texas A&M,58.81,SEC Championships,2016-05-12,400H,W
57,"Yarde, Tanaya",SR-4,Coppin State,58.81,MEAC Outdoor Track & Field Championships,2016-05-05,400H,W
59,"Amaku, Ruth",SR-4,Sam Houston St.,58.82,Southland Conference Outdoor Track & Field Championships,2016-05-06,400H,W
60,"Spagnola, Emma",SO-2,Minnesota,58.88,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
60,"Sanford, Sarah",SO-2,Samford,58.88,War Eagle Invitational,2016-04-22,400H,W
62,"Hodge, Ashanna",SR-4,Southern Illinois,58.89,2016 MVC Outdoor Track and Field Championships,2016-05-13,400H,W
63,"Olsen, Andrea",JR-3,Monmouth,58.93,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,400H,W
64,"Kitching, Melissa",SR-4,North Dakota State,58.95,2016 Drake Relays presented by Hy-Vee,2016-04-27,400H,W
65,"Hill, Virginia",SR-4,Drake,59.0,2016 MVC Outdoor Track and Field Championships,2016-05-13,400H,W
66,"Brown, Leigha",JR-3,Arkansas,59.06,Arkansas Spring Invitational,2016-03-25,400H,W
67,"Lee-McNeill, Kaulyn",SR-4,UC Irvine,59.09,Beach Invitational,2016-04-15,400H,W
68,"Abdul-Rashid, Mariam",FR-1,Texas,59.1,2016 Drake Relays presented by Hy-Vee,2016-04-27,400H,W
68,"Willis, Sydni",SO-2,Texas State,59.1,Texas State Bobcat Classic,2016-04-29,400H,W
70,"Farquhar, Taylor",JR-3,Kent State,59.12,2016 Drake Relays presented by Hy-Vee,2016-04-27,400H,W
71,"Lee , Javette",SR-4,Cincinnati,59.13,The American Outdoor Track & Field Championships,2016-05-12,400H,W
71,"Milbrath, Morgan",JR-3,North Dakota State,59.13,Mt. SAC Relays,2016-04-14,400H,W
73,"Johnson, Alaysha",FR-1,Oregon,59.18,Pepsi Invitational,2016-04-09,400H,W
74,"Adams, Shani",JR-3,Missouri State,59.23,2016 MVC Outdoor Track and Field Championships,2016-05-13,400H,W
75,"Thomas, Markeeta",FR-1,Clemson,59.31,LSU Alumni Gold,2016-04-23,400H,W
76,"Carpenter, Skyler",JR-3,Vanderbilt,59.33,Jace LaCoste- Mississippi State Invitational,2016-04-30,400H,W
77,"Brogan, McKenzie",SR-4,Wyoming,59.34,Mountain West Championships,2016-05-11,400H,W
78,"Dowell, Kristen",SO-2,Nebraska,59.41,Kansas Relays,2016-04-20,400H,W
79,"Collins, Janieyah",SR-4,East Carolina,59.43,The American Outdoor Track & Field Championships,2016-05-12,400H,W
79,"Wolfe, Tatiana",JR-3,Campbell,59.43,Campbell University Invitational,2016-04-15,400H,W
81,"Maslowski, Teddi",SR-4,Duke,59.44,Duke Invitational,2016-04-22,400H,W
82,"Schmalz, Lyric",FR-1,Jacksonville,59.46,ASUN Outdoor Track & Field Championships,2016-05-13,400H,W
83,"McKenzie, Ranae",FR-1,Kansas State,59.47,LSU Battle on the Bayou,2016-04-09,400H,W
84,"Wee, Emily",JR-3,Michigan,59.48,Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,400H,W
84,"Redick, Emma",JR-3,UC Davis,59.48,Sacramento State Hornet Invitational,2016-03-18,400H,W
86,"Anderson, Geneva",SR-4,UT-Rio Grande Valley,59.49,Texas State Bobcat Classic,2016-04-29,400H,W
87,"Struble, Morgan",SR-4,Arizona,59.5,2016 Duel in the Desert,2016-04-30,400H,W
87,"Barber, Mikayla",JR-3,Florida,59.5,UF Tom Jones Memorial,2016-04-22,400H,W
