,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
71,"Schwarzkopf, Conrad",JR-3,North Dakota State,62.41m,"204' 9""",NDSU Tune Up,2016-05-06,HT,M
72,"Wilson, Timothy",SO-2,Monmouth,62.32m,"204' 5""",Wake Forest Open,2016-03-18,HT,M
73,"Bryer, Logan",SO-2,Kentucky,62.28m,"204' 4""",Virginia Challenge,2016-04-22,HT,M
74,"Bolton, Brad",SR-4,Michigan,62.23m,"204' 2""",Toledo Invitational,2016-05-05,HT,M
75,"Smith, Kyle",JR-3,Kansas State,62.03m,"203' 6""",Big 12 Outdoor Track & Field Championships,2016-05-13,HT,M
76,"Grunder, Brady",JR-3,Kansas State,61.94m,"203' 2""",UTSA Invitational,2016-03-18,HT,M
77,"Seawright, Matt",JR-3,UC Irvine,61.93m,"203' 2""",Big West Outdoor Track & Field Championships,2016-05-13,HT,M
78,"Goldsmith, Taylor",SR-4,Wichita State,61.89m,"203' 1""",Wichita State Shocker Open,2016-05-06,HT,M
79,"Clay, Alton",JR-3,UL-Monroe,61.84m,"202' 11""",LSU Alumni Gold,2016-04-23,HT,M
80,"Anderson, Tyler",SR-4,Wyoming,61.81m,"202' 9""",Mountain West Championships,2016-05-11,HT,M
81,"Sedys, Martynas",SR-4,Kennesaw State,61.72m,"202' 6""",ASUN Outdoor Track & Field Championships,2016-05-13,HT,M
82,"Stroh, Steffan",SO-2,North Dakota State,61.67m,"202' 4""",NDSU Tune Up,2016-05-06,HT,M
83,"Handley, Mahlik",JR-3,Rhode Island,61.64m,"202' 3""",Holy Cross Men's Meet,2016-04-27,HT,M
84,"Long, Kyle",JR-3,Arizona State,61.60m,"202' 1""",Baldy Castillo Invitational,2016-03-18,HT,M
85,"McFarland, AJ",FR-1,Florida,61.59m,"202' 1""",Florida Relays,2016-03-31,HT,M
86,"Schultz, Tyler",SR-4,Colorado St.,61.52m,"201' 10""",2016 Mesa Classic,2016-04-08,HT,M
