,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
47,"Smith, Phillip",JR-3,Mid. Tenn. State,15.66m,"51' 4.5""",Drury Hotels Joey Haines Invite,2016-04-01,1.2,TJ,M
47,"Grant, Jonte",SR-4,California,15.66m,"51' 4.5""",Pac-12 Outdoor Track & Field Championships,2016-05-14,1.4,TJ,M
49,"Ohiembor, Michael",JR-3,Akron,15.65m,"51' 4.25""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,3.7,TJ,M
50,"Reddick, EJ",SR-4,Charleston Southern,15.63m,"51' 3.5""",Florida Relays,2016-03-31,0.2,TJ,M
51,"Lemke, John",JR-3,McNeese State,15.62m,"51' 3""",Florida Relays,2016-03-31,2.5,TJ,M
51,"Ghent, Marcus",SR-4,FIU,15.62m,"51' 3""",Conference USA Championship,2016-05-12,0.6,TJ,M
51,"Sloan, Eric",JR-3,USC,15.62m,"51' 3""",Pepsi Invitational,2016-04-09,0.0,TJ,M
54,"Bordley, Allen",SR-4,East Carolina,15.58m,"51' 1.5""",The American Outdoor Track & Field Championships,2016-05-12,0.6,TJ,M
54,"Jones, Avion",SR-4,East Carolina,15.58m,"51' 1.5""",The American Outdoor Track & Field Championships,2016-05-12,0.1,TJ,M
54,"Nelson, Lebrun",SO-2,UL-Monroe,15.58m,"51' 1.5""",Jim Mize Invitational,2016-03-18,2.2,TJ,M
54,"Bellard, Da'Quan",FR-1,LSU,15.58m,"51' 1.5""",SEC Championships,2016-05-12,2.3,TJ,M
58,"Jones, Darrel",SO-2,Liberty,15.52m,"50' 11""",Virginia Challenge,2016-04-22,0.4,TJ,M
59,"Bernard, Idrees",SO-2,UCLA,15.51m,"50' 10.75""",Jim Bush Collegiate Invitational,2016-03-22,3.4,TJ,M
60,"Uudmae, Jaak",SO-2,Stanford,15.47m,"50' 9.25""",Pac-12 Outdoor Track & Field Championships,2016-05-14,-0.2,TJ,M
60,"Marini, Joseph",SR-4,Monmouth,15.47m,"50' 9.25""",Metro Atlantic Outdoor Track & Field Championships,2016-05-07,3.3,TJ,M
62,"Wethington, Karsten",SO-2,California,15.46m,"50' 8.75""",Stanford Invitational,2016-04-01,1.6,TJ,M
63,"Lindo, Shazz Michael",SR-4,Wichita State,15.45m,"50' 8.25""",2016 MVC Outdoor Track and Field Championships,2016-05-13,2.2,TJ,M
63,"Agama, Aklesso",JR-3,Liberty,15.45m,"50' 8.25""",Big South Outdoor Track & Field Championships,2016-05-10,1.4,TJ,M
63,"Williams, Amanze",SR-4,Connecticut,15.45m,"50' 8.25""",Penn Relays,2016-04-28,0.0,TJ,M
66,"Mitirica, Alexandru",FR-1,Iowa State,15.44m,"50' 8""",LSU Alumni Gold,2016-04-23,3.4,TJ,M
66,"Owens, Rubin",SO-2,Arkansas,15.44m,"50' 8""",Arkansas Spring Invitational,2016-03-25,1.5,TJ,M
66,"Koch, Shawn",SR-4,Northern Iowa,15.44m,"50' 8""",2016 MVC Outdoor Track and Field Championships,2016-05-13,0.0,TJ,M
66,"Alexander, Willie",SR-4,Long Beach St.,15.44m,"50' 8""",Big West Outdoor Track & Field Championships,2016-05-13,1.8,TJ,M
70,"Ennis, Errol",FR-1,South Florida,15.43m,"50' 7.5""",The American Outdoor Track & Field Championships,2016-05-12,0.5,TJ,M
71,"Monroe, Christopher",SR-4,Southern Miss.,15.42m,"50' 7.25""",2016 University of Southern Mississippi Invitational,2016-04-15,0.0,TJ,M
72,"Sears, Ventavius",JR-3,Western Kentucky,15.39m,"50' 6""",Conference USA Championship,2016-05-12,1.4,TJ,M
73,"Porter, Zhaquan",JR-3,Northwestern St.,15.38m,"50' 5.5""",Leon Johnson Invitational,2016-04-08,1.0,TJ,M
74,"Adams, Barden",SO-2,Kansas,15.36m,"50' 4.75""",Kansas Relays,2016-04-20,2.4,TJ,M
74,"Donawa, Justin",FR-1,Dartmouth,15.36m,"50' 4.75""",Ivy League Outdoor Track & Field Championships,2016-05-07,0.3,TJ,M
76,"Jenkins, Lorne",JR-3,Campbell,15.35m,"50' 4.5""",Big South Outdoor Track & Field Championships,2016-05-10,1.7,TJ,M
77,"Fawehinmi, Tobi",JR-3,UT-Arlington,15.34m,"50' 4""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,1.7,TJ,M
77,"Willis, Devon",SO-2,Albany,15.34m,"50' 4""",Alan Connie Shamrock Invitational,2016-03-17,1.3,TJ,M
79,"Kamara, Ishmael",JR-3,Clemson,15.33m,"50' 3.5""",LSU Alumni Gold,2016-04-23,3.4,TJ,M
80,"Smallwood, Dominic",SO-2,USC,15.32m,"50' 3.25""",Power Conference Cardinal & Gold,2016-03-25,2.9,TJ,M
80,"Akindele, Dayo",FR-1,Kennesaw State,15.32m,"50' 3.25""",Virginia Challenge,2016-04-22,1.2,TJ,M
82,"Narramore, Will",SR-4,High Point,15.31m,"50' 2.75""",Big South Outdoor Track & Field Championships,2016-05-10,1.7,TJ,M
83,"Peister, Jake",FR-1,Central Michigan,15.30m,"50' 2.5""",Mid-American Conference Championship,2016-05-12,3.5,TJ,M
83,"Butler, Ashton",FR-1,Florida State,15.30m,"50' 2.5""",Florida State Relays,2016-03-25,0.0,TJ,M
85,"Solomon, William",SO-2,Georgia Tech,15.27m,"50' 1.25""",ACC Championships,2016-05-13,1.7,TJ,M
86,"Mada, Brian",FR-1,DePaul,15.25m,"50' 0.5""",Charlotte 49er Classic,2016-03-17,3.0,TJ,M
87,"Okot, Vincent",SR-4,Mid. Tenn. State,15.24m,"50' 0""",Georgia Tech Yellow Jacket Invitational,2016-03-25,0.5,TJ,M
87,"Lilly, Jaheel",SR-4,Central Arkansas,15.24m,"50' 0""",Kansas Relays,2016-04-20,2.4,TJ,M
87,"Mitchell, Marcus",FR-1,Oklahoma,15.24m,"50' 0""",Big 12 Outdoor Track & Field Championships,2016-05-13,1.1,TJ,M
90,"Stephens Jr., Kevin",SO-2,Michigan,15.22m,"49' 11.25""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,0.3,TJ,M
90,"Gebhard, Robert",SR-4,Manhattan,15.22m,"49' 11.25""",Metro Atlantic Outdoor Track & Field Championships,2016-05-07,0.2,TJ,M
92,"Phynn, Nick",JR-3,Texas,15.21m,"49' 11""",Big 12 Outdoor Track & Field Championships,2016-05-13,0.0,TJ,M
93,"Seward, DaJuan",FR-1,Ohio State,15.20m,"49' 10.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,-0.2,TJ,M
