,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
54,"Johnson, Ben",SO-2,Wichita State,7082,Sam Adams Combined Events Invitational,2017-04-07,Dec,W
55,"Littlefield, Luke",FR-1,Baylor,7080,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
56,"Biere, Lennard",FR-1,Memphis,7070,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
57,"Card-Childers, Charlie",SO-2,Rice,7061,Shirley Crowe Combined Events,2017-03-14,Dec,W
58,"Kravec, Nick",JR-3,Colorado St.,7047,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
59,"Ghizzone, Andrew",JR-3,Colorado,7045,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
60,"Key, Hunter",SR-4,Stephen F. Austin,7031,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
61,"Neururer, Matt",SR-4,North Dakota State,7023,The Summit League Outdoor Track & Field Championships,2017-05-11,Dec,W
62,"Schiemann, Christian",JR-3,UT-Arlington,7019,Sun Belt Outdoor Track and Field Championships,2017-05-12,Dec,W
63,"Jazdyk, Steven",JR-3,Oklahoma,7003,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
64,"Jette, Max",JR-3,Sacramento St.,6960,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,Dec,W
65,"Afflitto, Paul",FR-1,Wisconsin,6945,Big Ten Outdoor Championships,2017-05-12,Dec,W
66,"Nelson, Tyler",JR-3,UC Santa Barbara,6944,2017 Big West Multi Championships,2017-05-05,Dec,W
66,"Lopez, Erin",SO-2,Texas Tech,6944,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
68,"Guerrant, Nick",FR-1,Michigan State,6937,Virginia Challenge,2017-04-21,Dec,W
69,"Christodoulou, Andreas",SO-2,Miami,6936,Miami Hurricane Alumni Invitational,2017-04-07,Dec,W
70,"Colello, Ben",SO-2,Dartmouth,6928,Bill Webb & Bob Davidson Spring Kick-Off,2017-03-16,Dec,W
71,"Davis, Zach",SR-4,Liberty,6898,Virginia Challenge,2017-04-21,Dec,W
72,"Majid, Kamar",SO-2,Akron,6890,Mid-American Outdoor Track & Field Championships,2017-05-11,Dec,W
73,"Huber, Andrew",SO-2,Indiana,6870,Tennessee Relays,2017-04-06,Dec,W
73,"Fofana, Nick",JR-3,Northeastern,6870,Miami Hurricane Alumni Invitational,2017-04-07,Dec,W
75,"Morales, Christopher",SR-4,Houston,6857,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
76,"Robinson, Donte",SO-2,Portland State,6852,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,Dec,W
77,"Ballengee, Markus",FR-1,Liberty,6840,Virginia Challenge,2017-04-21,Dec,W
78,"Rivers, Grant",JR-3,North Carolina St.,6832,ACC Outdoor Track & Field Championships,2017-05-12,Dec,W
79,"Looser, Ryan",JR-3,Kent State,6829,Mid-American Outdoor Track & Field Championships,2017-05-11,Dec,W
80,"Hicks, Cole",JR-3,Long Beach St.,6826,UC Riverside Spring Track Classic,2017-03-23,Dec,W
81,"Griffin, Kaden",SO-2,Wichita State,6816,Wichita State KT Woodman Heptathlon/Decathlon,2017-04-11,Dec,W
82,"Powell, Hunter",JR-3,Baylor,6804,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
83,"Enerson, Ryan",SO-2,North Dakota State,6798,The Summit League Outdoor Track & Field Championships,2017-05-11,Dec,W
84,"Clancy, Kyle",SO-2,UC Davis,6787,2017 Big West Multi Championships,2017-05-05,Dec,W
85,"Russi, Sebastian",SO-2,Houston,6770,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
86,"Muldoon, Mackenzie",SO-2,Virginia Tech,6758,ACC Outdoor Track & Field Championships,2017-05-12,Dec,W
