,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
91,"Scinto, Jake",JR-3,Princeton,7.39m,"24' 3""",Larry Ellis (College),2015-04-17,1.3,LJ,M
91,"Osborn, Trenton",SO-2,Eastern Washington,7.39m,"24' 3""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,3.2,LJ,M
91,"Mcdavid, Myles",SO-2,Georgia Tech,7.39m,"24' 3""",Georgia Tech Yellow Jacket Invitational,2015-03-27,2.5,LJ,M
91,"Ehrhardt, Tim",SO-2,Michigan State,7.39m,"24' 3""",Ohio State - Jesse Owens Classic,2015-05-01,3.7,LJ,M
95,"Hazel, Austin",SO-2,UCLA,7.38m,"24' 2.5""",Pac-12 Track & Field Championships,2015-05-15,1.5,LJ,M
96,"Oduho, Joseph",SO-2,Akron,7.37m,"24' 2.25""",Mid-American Outdoor Track & Field Championships,2015-05-14,1.2,LJ,M
96,"Gulley, Desmond",SO-2,Arkansas-Little Rock,7.37m,"24' 2.25""",Sun Belt Outdoor Track and Field Championships,2015-05-08,3.0,LJ,M
96,"Price, Hunter",SO-2,Colorado St.,7.37m,"24' 2.25""",Cowpoke Open,2015-05-01,0.6,LJ,M
96,"Brown, Tyler",SO-2,Eastern Michigan,7.37m,"24' 2.25""",Mid-American Outdoor Track & Field Championships,2015-05-14,0.6,LJ,M
100,"Dixon, Josh",JR-3,Arizona State,7.36m,"24' 1.75""",Baldy Castillo Invitational,2015-03-20,1.5,LJ,M
